"product_id","year","month","total_quantity"
"1","2020","1","74073074237"
"10","2020","1","60115006"
"10209df8-d01bfba0","2020","1","8"
"10b38cea-131e5f5d","2020","1","107"
"10c4cb8d-9aa5bf15","2020","1","3"
"10e37059-b8840fd8","2020","1","4"
"10f54217-4cedcce0","2020","1","2"
"10fc9411-870446ee","2020","1","3"
"11","2020","1","4747"
"1102420a-a3f5f7e7","2020","1","1"
"11070359-7e8183e3","2020","1","2"
"111cd88b-0196b02b","2020","1","7"
"113d8b6f-0b0d2b6c","2020","1","1"
"114bb632-a01632e6","2020","1","1"
"1162b98d-6180a0e9","2020","1","1"
"11844fbc-1027278e","2020","1","104"
"1197b2c0-692de4b0","2020","1","2"
"11a1e7a7-10614178","2020","1","1"
"11dbef7f-56b1bb2b","2020","1","1"
"12","2020","1","2147483666"
"1243fd18-a0ec39f0","2020","1","2"
"126878b0-bfb4c46d","2020","1","1"
"126c8127-bc715617","2020","1","1"
"1283322a-0cc6b393","2020","1","1"
"12a72f1e-9fabbe34","2020","1","3"
"12be80a4-fc80c507","2020","1","1"
"12d47bf9-a7c911fb","2020","1","2"
"12d6ecdb-a948e69b","2020","1","8"
"12f31895-e10c78b4","2020","1","2"
"12f46591-bcbfa4c1","2020","1","2"
"1316221f-987abb03","2020","1","4"
"132dbfb2-98b798a9","2020","1","35"
"133e3c65-e062b180","2020","1","3"
"13a2b488-f0f82fa2","2020","1","2"
"13b52198-282b47cc","2020","1","3"
"13b9161e-b2b70f30","2020","1","1"
"140f5843-c540751b","2020","1","2"
"14255735-df4f3764","2020","1","2"
"145eb2fc-11287fbc","2020","1","2"
"148a50db-76c578e8","2020","1","4"
"148cd893-a051ca18","2020","1","2"
"148dfb9c-268c368d","2020","1","2"
"1491a866-1996c359","2020","1","4"
"14a417db-2493ccbe","2020","1","8"
"14b899d0-62fbe503","2020","1","1"
"14c7cd7f-a29c64be","2020","1","3"
"14d4c3de-74af9998","2020","1","2"
"14ef957c-15878f82","2020","1","2"
"1585b5c0-88870211","2020","1","1"
"15902124-fe021880","2020","1","1"
"15a8a24f-75f05773","2020","1","13"
"15b12127-6e1998de","2020","1","1"
"15b1bd36-df0d5e47","2020","1","9"
"15e7b5d2-0dddbf19","2020","1","20"
"15eb7f57-f959aa57","2020","1","5"
"161ade8f-6aa0f585","2020","1","3"
"161c32c6-b817c5b4","2020","1","1"
"16315d51-9279e4c7","2020","1","2"
"163f9d7c-2497f7d7","2020","1","1"
"166dd6d1-b287ce9c","2020","1","12"
"16b529fd-2ea607d5","2020","1","6"
"16c1bd24-22b1e08f","2020","1","1"
"16d65d6c-d59ce467","2020","1","1"
"16d87a8c-9926dd89","2020","1","1"
"16db7040-3740a116","2020","1","1"
"1709347d-f4cc0c90","2020","1","1"
"170b1d43-461f70d5","2020","1","1"
"17170e0f-6447f5d4","2020","1","6"
"1728cea0-34bc7b52","2020","1","1"
"17408b4d-4ff38fdb","2020","1","1"
"174358a6-8c8619e9","2020","1","1"
"1798e1bb-627ccdb1","2020","1","22"
"179aae4f-38081838","2020","1","4"
"179cb05e-a3cc9ca0","2020","1","1"
"17a56c1e-5c8236ae","2020","1","20"
"1800f42e-44b455a5","2020","1","8"
"181c4ba3-928316d5","2020","1","1"
"1832d591-402f1229","2020","1","5"
"18368062-cdfc714c","2020","1","9"
"1862d606-6496e438","2020","1","2"
"18bf04dd-ebdef6f9","2020","1","2"
"18c54f55-a1236c1a","2020","1","1"
"18c63b35-267ea569","2020","1","9"
"1909d89c-dcc43e60","2020","1","2"
"19154501-9f8ae582","2020","1","6"
"193dc216-1a416046","2020","1","1"
"195750ff-799c616b","2020","1","1"
"1968ef62-9d8a46f8","2020","1","1"
"1978d3f6-abad52bb","2020","1","9"
"1982fdb2-6f391c57","2020","1","9"
"199b0c41-0faa1e5d","2020","1","1"
"19b80a53-f2c13d13","2020","1","3"
"19d54e3f-b734d8b7","2020","1","1"
"19ea6192-a1e10e40","2020","1","1"
"19fd5556-0462d592","2020","1","1"
"1a0b590d-fe0fe51c","2020","1","1"
"1a2911a4-e2350f79","2020","1","1"
"1a3aae3a-6d8d4a60","2020","1","3"
"1a57576d-b9691030","2020","1","1"
"1a5c6eb7-23a13db3","2020","1","2"
"1a721d9c-32f36f00","2020","1","1"
"1a788977-8ea1ad6b","2020","1","3"
"1a96be41-25fb7aaf","2020","1","5"
"1a9c472b-524519de","2020","1","2"
"1aa18e91-74795481","2020","1","1"
"1abcb64b-1d2a5134","2020","1","2"
"1ac0a182-2cd09626","2020","1","1"
"1ac1741b-38573658","2020","1","1"
"1ad504c2-a3978acf","2020","1","2"
"1ad7187f-abbc8780","2020","1","6"
"1ada64fc-73891bb0","2020","1","4"
"1ae0c7b8-bccad1a0","2020","1","1"
"1ae11385-bc056612","2020","1","3"
"1aebd6a9-a8554a76","2020","1","1"
"1b22725b-b3faaf50","2020","1","2"
"1b4a72a7-729e5210","2020","1","1"
"1b53b508-76f1a7fb","2020","1","3"
