"customer_id","year","month","total_quantity"
"0042350cd93f45f5-9d59ff2ac7750158","2020","1","2147490961"
"0058b746127241f6-8baa78bcabee1a60","2020","1","17"
"006ce28afcfa4e12-b24c4469f7bedb48","2020","1","20"
"029d40f1aa654d0a-947b7b3a660068c8","2020","1","1"
"031d4f29674d4b16-9357c42a19313cac","2020","1","3"
"033754db26f14083-a7122c7ad2cb4680","2020","1","39"
"0368fa1a6e374b50-b3af5f982a763a5d","2020","1","19"
"03af19d1f0a94a48-9fdc4f8dc9bf3633","2020","1","4"
"059ce37fd46e477e-b9eb70f98aa17301","2020","1","5"
"0693cef13c8a4f29-afaba42a638fa6f1","2020","1","1"
"06f464dc308646a6-838ab6d2d98b8710","2020","1","4"
"07000becebea4e8e-9123bf31b28a0d81","2020","1","2"
"07bf38988d514e55-82e2ac81e3f563e7","2020","1","2147549367"
"0817dd66afd445e0-afed15fe410a044b","2020","1","9"
"087af25267614231-b48aa2aa1ffe8446","2020","1","5"
"08ac96fd35c848f4-b0a820157fa2ebc3","2020","1","15"
"0903a2ae574a490d-ad9a1cb7731310fe","2020","1","1101"
"090d7198f53b45fc-a9896600273b1b4a","2020","1","1"
"096851a3c5c84020-8cbedcbe289799ab","2020","1","4"
"096f1acbc62d4304-86dec4e44c3df726","2020","1","3611"
"0a2b80d7fd884251-8d903bad705b5191","2020","1","1"
"0a547439880c47b1-9410deda76da2d67","2020","1","2"
"0a547a9a29ad40fe-9f340be766f31687","2020","1","1"
"0b1ee42f12d24b3c-a14f67df5c99e8b6","2020","1","7"
"0b984090f3704a40-bfab84ed835efaf1","2020","1","8"
"0bb61731e5de4b88-91cf6499665d97ca","2020","1","8"
"0bc3a3944c574cad-961ed08d2abb2bf0","2020","1","68698701"
"0c9edd97f111486e-901cf0b1119cc407","2020","1","2147484201"
"0d6868877f76424c-a2d9498317e7ea81","2020","1","2"
"0d6d2a8aedd64362-a063a039f702dcb8","2020","1","25"
"0dc899d4b32a4191-90d3523ec42e7a69","2020","1","2147483658"
"0ddb3ef6c2884486-a55718a0bc4b87c4","2020","1","32"
"0f4fe14a6b5f4078-a83cf573bd37d412","2020","1","1"
"0fed48f71e60472b-88769fa2f8aa9a91","2020","1","5"
"102f1272044e4767-b66775da2bacf3d4","2020","1","152"
"1048568e89fd4bf1-870aaa9c2eaae9f4","2020","1","612"
"10ac29ff7c204990-bc5e4dcd1b373678","2020","1","2147533274"
"10e79b3b9b6b4952-8a6a2103833ee3d4","2020","1","2205250833"
"117eb0661cfd4c39-9c64b3e32113cb96","2020","1","59"
"125fbb4a31b3493e-9ed3973b2be800aa","2020","1","1"
"13ab84feffdf430c-ac8d102198cecc6d","2020","1","2"
"13f82c7ab5fb4f6f-95a5e6713a3dfc70","2020","1","5"
"1404777ace8f431a-97ca51c3a299fca4","2020","1","1"
"147c400625f047eb-ac7bcf68cad37b34","2020","1","4"
"14be916ece844238-a69f1d946d6c47fc","2020","1","1"
"14f9a61cb9ab4eef-8f67ef367735913c","2020","1","8"
"1602682b1f5e4244-8e4043ab98f5b247","2020","1","20"
"169e5ed73285404c-b317c43abb629e3d","2020","1","16"
"16d14f884a05469c-a1d03ea2c711ec4b","2020","1","7"
"16d3d9fbb19c412d-9070109424f12fd7","2020","1","2"
"16d7b592b8c34214-a4489f88e95c3337","2020","1","6"
"18758397c9e2443d-ba0d0a5e4d2c522d","2020","1","1"
"19430d049e884aea-b9f0bb0b29ad85bd","2020","1","183040"
"197ba187fd8d4083-b4c17c252a755648","2020","1","10"
"19ab542b864546d6-9e006142a456d3af","2020","1","1"
"19e063fdf1814c95-bf1a72995c817653","2020","1","12"
"1a603af7a8a84ad0-98ef6750948d4d5d","2020","1","3"
"1bbd6934f0b04d89-809b552231a1b448","2020","1","2155286705"
"1c00e4103b254b83-93707bcc30170a49","2020","1","1"
"1c71a0f8a02d4819-b7bac0ae5efb0c41","2020","1","1"
"1c7a2ec3fcae4bec-82495a9d2bd6a7f1","2020","1","2147483742"
"1c7b43ef85c04b54-8efa139d0f58c680","2020","1","650"
"1d45db2d39b646d5-b05f3cf7f654a049","2020","1","9"
"1dd44a8a7be140a7-a126b9b5602d6634","2020","1","1"
"1e0485294769409f-8a425b9b287c03e3","2020","1","2"
"1e76530aac994ab6-ae46a662e3ab4726","2020","1","2"
"1e83fabf7a744d71-a7bad7db1fa1e0bc","2020","1","112972609"
"1eec73e798204d0f-a4ead836e5f369bf","2020","1","3"
"1ef486af74754b54-8e1e855d393d9fae","2020","1","1"
"1f6cd93e48e44592-bbb458d95235b44d","2020","1","11563"
"1fdc4ac49f0e4fa4-96f849533f20e76d","2020","1","1"
"203f7d27c4374775-b0679d76e0de361a","2020","1","12"
"2057995831c24515-b1befb576a3adcf0","2020","1","5"
"20f733ef6f5c459e-b655e84ee23f25ea","2020","1","2"
"213c74bd12854dc7-84ceaef58c484c3b","2020","1","26"
"21a18215db0543d0-a33b510b13f2b6f8","2020","1","6280961"
"224e954aa66c408f-a1473499c1c76f1e","2020","1","515"
"226c80a571b94ea8-8d328cf4ae5571a4","2020","1","22"
"235fb7f3fc044bba-9af539b602bcd013","2020","1","10"
"2360414c713a42eb-9707a942efa10caa","2020","1","5"
"236f900997c6426d-858af39e52efe38b","2020","1","1"
"23d9181688d14dc2-a2937ca6c9984ba0","2020","1","2"
"24a507ed92124370-9343cf09e15dac0f","2020","1","3"
"24a7a469816d4577-bd87ca5d548327f4","2020","1","11"
"24bdd5549d6e4ec8-996330535a195459","2020","1","11"
"256619b1e43f44f1-84e6b23e504df62c","2020","1","6"
"25a7dc0bbe3e4d6d-84c21eda3701aac8","2020","1","1"
